VALUE,TEMP_rec
0.1483405083,11.00000
0.1489469558,11.00000
0.3138318658,11.00000
0.2093830705,12.00000
0.2082111388,12.00000
0.1295659095,10.00000
0.2085166126,12.00000
0.1114782170,7.00000
0.1765148640,12.00000
0.3942172229,10.00000
0.2614144683,10.00000
0.1190589964,3.00000
0.1178426072,9.00000
0.1379902512,14.00000
0.3510014415,8.00000
0.1994583160,11.00000
0.1513975859,12.00000
0.0431728475,12.00000
0.1229264438,11.00000
0.1476623416,12.00000
0.1458238661,12.00000
0.1299509555,12.00000
0.2049840093,12.00000
0.0596480593,13.00000
0.0644280761,10.00000
0.2189573497,13.00000
0.4070963562,10.00000
0.1939653754,12.00000
0.1697446257,12.00000
0.2571204901,10.00000
0.1744803637,13.00000
0.2760178149,11.00000
0.2111621648,11.00000
0.1297523826,12.00000
0.1622413695,12.00000
0.1648900807,11.00000
0.1050096303,3.00000
0.2513162494,13.00000
0.1619084924,13.00000
0.2430506498,12.00000
0.4415738881,8.00000
0.1564012617,12.00000
0.3151239753,9.00000
0.2610385716,11.00000
0.1258660555,3.00000
0.0826339871,5.00000
0.0918632969,8.00000
0.1709167510,13.00000
0.1766990274,13.00000
0.1694839597,15.00000
0.1687027216,12.00000
0.3782712519,11.00000
0.1560498327,11.00000
0.1948989183,11.00000
0.2193269581,12.00000
0.2282589674,11.00000
0.1714612246,12.00000
0.1706484705,9.00000
0.1441197842,15.00000
0.1804250032,12.00000
0.1925074011,11.00000
0.1111184806,11.00000
0.1898661405,11.00000
0.2000647038,11.00000
0.1976344883,12.00000
0.1620418727,13.00000
0.1416829526,13.00000
0.2490409464,12.00000
0.1078865007,11.00000
0.1090447381,8.00000
0.1416576207,10.00000
0.1718421429,12.00000
0.2064859420,12.00000
0.1367010027,15.00000
0.2135133594,12.00000
0.2996933460,11.00000
0.2303586304,12.00000
0.3528837562,11.00000
0.3207859695,11.00000
0.1480498761,12.00000
0.2501693964,12.00000
0.1563182771,12.00000
0.1867953390,11.00000
